duration,code,usperinst,instrpersec
0.017000,0,0.008500,117647.058824
0.016000,0,0.008000,125000.000000
0.018000,0,0.009000,111111.111111
0.018000,0,0.009000,111111.111111
0.016000,0,0.008000,125000.000000
0.055000,0,0.027500,36363.636364
0.030000,0,0.015000,66666.666667
0.029000,0,0.014500,68965.517241
0.030000,0,0.015000,66666.666667
0.025000,0,0.012500,80000.000000
0.027000,0,0.013500,74074.074074
0.014000,0,0.007000,142857.142857
